country,date,incidence
Austria,2021-10-03,198.81
Austria,2021-10-04,201.543
Austria,2021-10-05,201.303
Austria,2021-10-06,199.226
Austria,2021-10-07,200.184
Austria,2021-10-08,201.942
Austria,2021-10-09,203.78
Austria,2021-10-10,204.867
Austria,2021-10-11,205.33
Austria,2021-10-12,204.163
Austria,2021-10-13,206.353
Austria,2021-10-14,207.088
Austria,2021-10-15,208.334
Austria,2021-10-16,216.9
Austria,2021-10-17,224.97
Austria,2021-10-18,233.919
Austria,2021-10-19,245.089
Austria,2021-10-20,263.146
Belgium,2020-07-01,7.243
Belgium,2020-07-02,7.121
Belgium,2020-07-03,7.55
Belgium,2020-07-04,7.758
Belgium,2020-07-05,7.525
Belgium,2020-07-06,7.807
Belgium,2020-07-07,7.807
Belgium,2020-07-08,7.623
Belgium,2020-07-09,7.611
Belgium,2020-07-10,7.636
Belgium,2020-07-11,8.016
Belgium,2020-07-12,8.42
Belgium,2020-07-13,8.395
Belgium,2020-07-14,8.628
Belgium,2020-07-15,10.001
Belgium,2020-07-16,11.325
Belgium,2020-07-17,12.832
Belgium,2020-07-18,14.082
Belgium,2020-07-19,15.884
Belgium,2020-07-20,16.717
Belgium,2020-07-21,16.975
Belgium,2020-07-22,19.659
Belgium,2020-07-23,18.899
Belgium,2020-07-24,22.49
Belgium,2020-07-25,25.101
Belgium,2020-07-26,27.822
Belgium,2020-07-27,29.035
Belgium,2020-07-28,30.506
Belgium,2020-07-29,32.369
Belgium,2020-07-30,38.987
Belgium,2020-07-31,40.825
Belgium,2020-08-01,43.228
Belgium,2020-08-02,45.532
Belgium,2020-08-03,46.512
Belgium,2020-08-04,46.071
Belgium,2020-08-05,48.51
Belgium,2020-08-06,50.079
Belgium,2020-08-07,50.863
Belgium,2020-08-08,52.505
Belgium,2020-08-09,53.572
Belgium,2020-08-10,53.511
Belgium,2020-08-11,53.192
Belgium,2020-08-12,54.16
Belgium,2020-08-13,52.996
Belgium,2020-08-14,51.059
Belgium,2020-08-15,49.834
Belgium,2020-08-16,47.579
Belgium,2020-08-17,45.85
Belgium,2020-08-18,45.973
Belgium,2020-08-19,43.938
Belgium,2020-08-20,44.024
Belgium,2020-08-21,44.061
Belgium,2020-08-22,42.982
Belgium,2020-08-23,42.039
Belgium,2020-08-24,42.529
Belgium,2020-08-25,42.321
Belgium,2020-08-26,41.095
Belgium,2020-08-27,38.668
Belgium,2020-08-28,37.614
Belgium,2020-08-29,37.05
Belgium,2020-08-30,38.325
Belgium,2020-08-31,38.227
Belgium,2020-09-01,38.252
Belgium,2020-09-02,38.582
Belgium,2020-09-03,39.048
Belgium,2020-09-04,39.637
Belgium,2020-09-05,41.377
Belgium,2020-09-06,42.774
Belgium,2020-09-07,44.331
Belgium,2020-09-08,44.796
Belgium,2020-09-09,48.277
Belgium,2020-09-10,52.028
Belgium,2020-09-11,57.543
Belgium,2020-09-12,63.254
Belgium,2020-09-13,70.069
Belgium,2020-09-14,73.684
Belgium,2020-09-15,75.474
Belgium,2020-09-16,85.352
Belgium,2020-09-17,94.63
Belgium,2020-09-18,105.893
Belgium,2020-09-19,113.333
Belgium,2020-09-20,118.542
Belgium,2020-09-21,121.937
Belgium,2020-09-22,123.898
Belgium,2020-09-23,129.756
Belgium,2020-09-24,135.222
Belgium,2020-09-25,137.098
Belgium,2020-09-26,137.649
Belgium,2020-09-27,136.595
Belgium,2020-09-28,138.85
Belgium,2020-09-29,140.064
Belgium,2020-09-30,147.283
Belgium,2020-10-01,158.73
Belgium,2020-10-02,173.168
Belgium,2020-10-03,193.108
Belgium,2020-10-04,219.202
Belgium,2020-10-05,227.168
Belgium,2020-10-06,233.137
Belgium,2020-10-07,263.912
Belgium,2020-10-08,297.458
Belgium,2020-10-09,341.727
Belgium,2020-10-10,381.547
Belgium,2020-10-11,432.937
Belgium,2020-10-12,465.318
Belgium,2020-10-13,482.011
Belgium,2020-10-14,537.912
Belgium,2020-10-15,623.987
Belgium,2020-10-16,693.075
Belgium,2020-10-17,758.266
Belgium,2020-10-18,829.401
Belgium,2020-10-19,875.57
Belgium,2020-10-20,898.832
Belgium,2020-10-21,971.119
Belgium,2020-10-22,1054.044
Belgium,2020-10-23,1115.386
Belgium,2020-10-24,1185.381
Belgium,2020-10-25,1248.256
Belgium,2020-10-26,1290.307
Belgium,2020-10-27,1297.329
Belgium,2020-10-28,1346.906
Belgium,2020-10-29,1378.698
Belgium,2020-10-30,1383.478
Belgium,2020-10-31,1350.926
Belgium,2020-11-01,1308.372
Belgium,2020-11-02,1244.015
Belgium,2020-11-03,1216.622
Belgium,2020-11-04,1143.073
Belgium,2020-11-05,1019.531
Belgium,2020-11-06,912.62
Belgium,2020-11-07,821.704
Belgium,2020-11-08,713.665
Belgium,2020-11-09,672.987
Belgium,2020-11-10,658.292
Belgium,2020-11-11,594.584
Belgium,2020-11-12,540.412
Belgium,2020-11-13,451.922
Belgium,2020-11-14,437.399
Belgium,2020-11-15,426.442
Belgium,2020-11-16,418.696
Belgium,2020-11-17,413.842
Belgium,2020-11-18,379.599
Belgium,2020-11-19,344.975
Belgium,2020-11-20,365.749
Belgium,2020-11-21,323.539
Belgium,2020-11-22,291.464
Belgium,2020-11-23,277.762
Belgium,2020-11-24,272.026
Belgium,2020-11-25,248.899
Belgium,2020-11-26,224.852
Belgium,2020-11-27,212.277
Belgium,2020-11-28,204.899
Belgium,2020-11-29,200.364
Belgium,2020-11-30,197.361
Belgium,2020-12-01,197.006
Belgium,2020-12-02,189.052
Belgium,2020-12-03,186.87
Belgium,2020-12-04,186.171
Belgium,2020-12-05,185.73
Belgium,2020-12-06,183.72
Belgium,2020-12-07,184.836
Belgium,2020-12-08,185.338
Belgium,2020-12-09,186.049
Belgium,2020-12-10,186.404
Belgium,2020-12-11,188.243
Belgium,2020-12-12,191.932
Belgium,2020-12-13,196.062
Belgium,2020-12-14,202.043
Belgium,2020-12-15,203.759
Belgium,2020-12-16,209.446
Belgium,2020-12-17,215.562
Belgium,2020-12-18,215.586
Belgium,2020-12-19,216.407
Belgium,2020-12-20,214.532
Belgium,2020-12-21,212.669
Belgium,2020-12-22,211.468
Belgium,2020-12-23,205.352
Belgium,2020-12-24,197.986
Belgium,2020-12-25,193.317
Belgium,2020-12-26,180.999
Belgium,2020-12-27,153.558
Belgium,2020-12-28,149.391
Belgium,2020-12-29,148.079
Belgium,2020-12-30,139.953
Belgium,2020-12-31,135.921
Belgium,2021-01-01,131.239
Belgium,2021-01-02,130.038
Belgium,2021-01-03,129.756
Belgium,2021-01-04,129.266
Belgium,2021-01-05,131.754
Belgium,2021-01-06,135.002
Belgium,2021-01-07,139.39
Belgium,2021-01-08,143.214
Belgium,2021-01-09,145.469
Belgium,2021-01-10,163.436
Belgium,2021-01-11,166.525
Belgium,2021-01-12,167.456
Belgium,2021-01-13,166.745
Belgium,2021-01-14,162.456
Belgium,2021-01-15,159.477
Belgium,2021-01-16,162.113
Belgium,2021-01-17,163.767
Belgium,2021-01-18,161.782
Belgium,2021-01-19,160.409
Belgium,2021-01-20,161.5
Belgium,2021-01-21,162.321
Belgium,2021-01-22,166.807
Belgium,2021-01-23,169.785
Belgium,2021-01-24,175.349
Belgium,2021-01-25,177.997
Belgium,2021-01-26,179.222
Belgium,2021-01-27,183.512
Belgium,2021-01-28,187.985
Belgium,2021-01-29,189.174
Belgium,2021-01-30,192.557
Belgium,2021-01-31,197.655
Belgium,2021-02-01,200.045
Belgium,2021-02-02,200.634
Belgium,2021-02-03,200.83
Belgium,2021-02-04,199.653
Belgium,2021-02-05,197.655
Belgium,2021-02-06,195.413
Belgium,2021-02-07,188.917
Belgium,2021-02-08,185.301
Belgium,2021-02-09,182.237
Belgium,2021-02-10,172.898
Belgium,2021-02-11,166.745
Belgium,2021-02-12,163.841
Belgium,2021-02-13,160.004
Belgium,2021-02-14,154.955
Belgium,2021-02-15,153.313
Belgium,2021-02-16,153.264
Belgium,2021-02-17,155.519
Belgium,2021-02-18,158.779
Belgium,2021-02-19,163.828
Belgium,2021-02-20,169.957
Belgium,2021-02-21,179.921
Belgium,2021-02-22,185.228
Belgium,2021-02-23,187.851
Belgium,2021-02-24,195.376
Belgium,2021-02-25,202.019
Belgium,2021-02-26,204.813
Belgium,2021-02-27,205.99
Belgium,2021-02-28,205.855
Belgium,2021-03-01,205.021
Belgium,2021-03-02,203.882
Belgium,2021-03-03,202.362
Belgium,2021-03-04,200.487
Belgium,2021-03-05,200.548
Belgium,2021-03-06,201.026
Belgium,2021-03-07,200.18
Belgium,2021-03-08,200.462
Belgium,2021-03-09,201.381
Belgium,2021-03-10,207.191
Belgium,2021-03-11,214.851
Belgium,2021-03-12,222.621
Belgium,2021-03-13,232.622
